FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240130;0000;4;;;
240130;0100;4;;;
240130;0200;3;;;
240130;0300;5;;;
240130;0400;3;;;
240130;0500;3;;;
240130;0600;18;;;
240130;0700;6;;;
240130;0800;5;;;
240130;0900;9;;;
240130;1000;12;;;
240130;1100;12;;;
240130;1200;8;;;
240130;1300;6;;;
240130;1400;4;;;
240130;1500;4;;;
240130;1600;6;;;
240130;1700;3;;;
240130;1800;5;;;
240130;1900;6;;;
240130;2000;5;;;
240130;2100;4;;;
240130;2200;3;;;
240130;2300;3;;;
240131;0000;3;;;
240131;0100;2;;;
240131;0200;2;;;
240131;0300;5;;;
240131;0400;3;;;
240131;0500;7;;;
240131;0600;7;;;
240131;0700;7;;;
240131;0800;8;;;
240131;0900;6;;;
240131;1000;5;;;
240131;1100;5;;;
240131;1200;4;;;
240131;1300;3;;;
240131;1400;;;;
240131;1500;;;;
240131;1600;4;;;
240131;1700;11;;;
240131;1800;11;;;
240131;1900;9;;;
240131;2000;6;;;
240131;2100;4;;;
240131;2200;4;;;
240131;2300;2;;;
240201;0000;4;;;
240201;0100;2;;;
240201;0200;5;;;
240201;0300;4;;;
240201;0400;3;;;
240201;0500;3;;;
240201;0600;1;;;
240201;0700;1;;;
240201;0800;4;;;
240201;0900;9;;;
240201;1000;5;;;
240201;1100;3;;;
240201;1200;3;;;
240201;1300;3;;;
240201;1400;1;;;
240201;1500;1;;;
240201;1600;1;;;
240201;1700;1;;;
240201;1800;1;;;
240201;1900;1;;;
240201;2000;2;;;
240201;2100;1;;;
240201;2200;2;;;
240201;2300;3;;;
240202;0000;3;;;
240202;0100;3;;;
240202;0200;1;;;
240202;0300;1;;;
240202;0400;2;;;
240202;0500;2;;;
240202;0600;10;;;
240202;0700;7;;;
240202;0800;5;;;
240202;0900;6;;;
240202;1000;9;;;
240202;1100;7;;;
240202;1200;13;;;
240202;1300;9;;;
240202;1400;10;;;
240202;1500;9;;;
240202;1600;7;;;
240202;1700;3;;;
240202;1800;12;;;
240202;1900;7;;;
240202;2000;9;;;
240202;2100;13;;;
240202;2200;9;;;
240202;2300;9;;;
240203;0000;8;;;
240203;0100;6;;;
240203;0200;5;;;
240203;0300;4;;;
240203;0400;5;;;
240203;0500;5;;;
240203;0600;8;;;
240203;0700;7;;;
240203;0800;9;;;
240203;0900;5;;;
240203;1000;3;;;
240203;1100;4;;;
240203;1200;5;;;
240203;1300;2;;;
240203;1400;1;;;
240203;1500;1;;;
240203;1600;1;;;
240203;1700;1;;;
240203;1800;3;;;
240203;1900;5;;;
240203;2000;16;;;
240203;2100;8;;;
240203;2200;6;;;
240203;2300;3;;;
240204;0000;4;;;
240204;0100;4;;;
240204;0200;2;;;
240204;0300;1;;;
240204;0400;1;;;
240204;0500;2;;;
240204;0600;8;;;
240204;0700;9;;;
240204;0800;6;;;
240204;0900;5;;;
240204;1000;5;;;
240204;1100;5;;;
240204;1200;2;;;
240204;1300;3;;;
240204;1400;3;;;
240204;1500;3;;;
240204;1600;2;;;
240204;1700;1;;;
240204;1800;1;;;
240204;1900;3;;;
240204;2000;3;;;
240204;2100;4;;;
240204;2200;4;;;
240204;2300;1;;;
240205;0000;3;;;
240205;0100;2;;;
240205;0200;2;;;
240205;0300;2;;;
240205;0400;1;;;
240205;0500;1;;;
240205;0600;3;;;
240205;0700;6;;;
240205;0800;4;;;
240205;0900;4;;;
240205;1000;4;;;
240205;1100;4;;;
240205;1200;4;;;
240205;1300;4;;;
240205;1400;2;;;
240205;1500;1;;;
240205;1600;2;;;
240205;1700;3;;;
240205;1800;3;;;
240205;1900;6;;;
240205;2000;6;;;
240205;2100;4;;;
240205;2200;6;;;
240205;2300;3;;;
240206;0000;6;;;
240206;0100;7;;;
240206;0200;7;;;
240206;0300;3;;;
240206;0400;1;;;
240206;0500;4;;;
240206;0600;10;;;
240206;0700;10;;;
240206;0800;12;;;
240206;0900;9;;;
240206;1000;5;;;
240206;1100;3;;;
240206;1200;4;;;
240206;1300;5;;;
240206;1400;7;;;
240206;1500;3;;;
240206;1600;1;;;
240206;1700;9;;;
240206;1800;7;;;
240206;1900;10;;;
240206;2000;6;;;
240206;2100;8;;;
240206;2200;6;;;
240206;2300;4;;;
240207;0000;11;;;
240207;0100;7;;;
240207;0200;2;;;
240207;0300;2;;;
240207;0400;4;;;
240207;0500;2;;;
240207;0600;2;;;
240207;0700;9;;;
240207;0800;8;;;
240207;0900;5;;;
240207;1000;3;;;
240207;1100;7;;;
240207;1200;6;;;
240207;1300;5;;;
240207;1400;4;;;
240207;1500;3;;;
240207;1600;7;;;
240207;1700;6;;;
240207;1800;5;;;
240207;1900;8;;;
240207;2000;17;;;
240207;2100;10;;;
240207;2200;8;;;
240207;2300;7;;;
240208;0000;9;;;
240208;0100;9;;;
240208;0200;4;;;
240208;0300;7;;;
240208;0400;5;;;
240208;0500;3;;;
240208;0600;6;;;
240208;0700;5;;;
240208;0800;5;;;
240208;0900;6;;;
240208;1000;5;;;
240208;1100;7;;;
240208;1200;6;;;
240208;1300;1;;;
240208;1400;1;;;
240208;1500;3;;;
240208;1600;2;;;
240208;1700;1;;;
240208;1800;13;;;
240208;1900;17;;;
240208;2000;10;;;
240208;2100;25;;;
240208;2200;20;;;
240208;2300;5;;;
240209;0000;5;;;
240209;0100;5;;;
240209;0200;3;;;
240209;0300;3;;;
240209;0400;1;;;
240209;0500;2;;;
240209;0600;6;;;
240209;0700;10;;;
240209;0800;7;;;
240209;0900;7;;;
240209;1000;3;;;
240209;1100;1;;;
240209;1200;5;;;
240209;1300;2;;;
240209;1400;1;;;
240209;1500;2;;;
240209;1600;1;;;
240209;1700;10;;;
240209;1800;5;;;
240209;1900;4;;;
240209;2000;11;;;
240209;2100;10;;;
240209;2200;12;;;
240209;2300;9;;;
240210;0000;9;;;
240210;0100;10;;;
240210;0200;9;;;
240210;0300;5;;;
240210;0400;6;;;
240210;0500;6;;;
240210;0600;14;;;
240210;0700;19;;;
240210;0800;5;;;
240210;0900;9;;;
240210;1000;7;;;
240210;1100;5;;;
240210;1200;4;;;
240210;1300;4;;;
240210;1400;3;;;
240210;1500;3;;;
240210;1600;1;;;
240210;1700;1;;;
240210;1800;1;;;
240210;1900;2;;;
240210;2000;5;;;
240210;2100;4;;;
240210;2200;2;;;
240210;2300;1;;;
240211;0000;3;;;
240211;0100;3;;;
240211;0200;2;;;
240211;0300;4;;;
240211;0400;3;;;
240211;0500;3;;;
240211;0600;3;;;
240211;0700;1;;;
240211;0800;1;;;
240211;0900;2;;;
240211;1000;12;;;
240211;1100;9;;;
240211;1200;4;;;
240211;1300;5;;;
240211;1400;5;;;
240211;1500;10;;;
240211;1600;6;;;
240211;1700;6;;;
240211;1800;9;;;
240211;1900;15;;;
240211;2000;15;;;
240211;2100;34;;;
240211;2200;22;;;
240211;2300;12;;;
240212;0000;8;;;
240212;0100;9;;;
240212;0200;8;;;
240212;0300;7;;;
240212;0400;8;;;
240212;0500;19;;;
240212;0600;16;;;
240212;0700;11;;;
240212;0800;11;;;
240212;0900;7;;;
240212;1000;5;;;
240212;1100;4;;;
240212;1200;4;;;
240212;1300;8;;;
240212;1400;7;;;
240212;1500;3;;;
240212;1600;6;;;
240212;1700;5;;;
240212;1800;8;;;
240212;1900;7;;;
240212;2000;5;;;
240212;2100;5;;;
240212;2200;6;;;
240212;2300;5;;;
240213;0000;5;;;
240213;0100;4;;;
240213;0200;6;;;
240213;0300;9;;;
240213;0400;12;;;
240213;0500;15;;;
240213;0600;30;;;
240213;0700;23;;;
240213;0800;12;;;
240213;0900;7;;;
240213;1000;7;;;
240213;1100;7;;;
240213;1200;3;;;
240213;1300;1;;;
240213;1400;1;;;
240213;1500;2;;;
240213;1600;3;;;
240213;1700;1;;;
240213;1800;1;;;
240213;1900;4;;;
240213;2000;7;;;
240213;2100;7;;;
240213;2200;5;;;
240213;2300;4;;;
240214;0000;4;;;
240214;0100;6;;;
240214;0200;5;;;
240214;0300;5;;;
240214;0400;4;;;
240214;0500;11;;;
240214;0600;23;;;
240214;0700;19;;;
240214;0800;8;;;
240214;0900;6;;;
240214;1000;7;;;
240214;1100;7;;;
240214;1200;5;;;
240214;1300;1;;;
240214;1400;1;;;
240214;1500;4;;;
240214;1600;3;;;
240214;1700;3;;;
240214;1800;2;;;
240214;1900;1;;;
240214;2000;7;;;
240214;2100;29;;;
240214;2200;24;;;
240214;2300;9;;;
240215;0000;6;;;
240215;0100;7;;;
240215;0200;5;;;
240215;0300;5;;;
240215;0400;5;;;
240215;0500;8;;;
240215;0600;14;;;
240215;0700;12;;;
240215;0800;17;;;
240215;0900;16;;;
240215;1000;4;;;
240215;1100;7;;;
240215;1200;4;;;
240215;1300;1;;;
240215;1400;1;;;
240215;1500;1;;;
240215;1600;1;;;
240215;1700;1;;;
240215;1800;2;;;
240215;1900;2;;;
240215;2000;4;;;
240215;2100;14;;;
240215;2200;16;;;
240215;2300;7;;;
240216;0000;7;;;
240216;0100;10;;;
240216;0200;8;;;
240216;0300;6;;;
240216;0400;6;;;
240216;0500;17;;;
240216;0600;20;;;
240216;0700;16;;;
240216;0800;12;;;
240216;0900;10;;;
240216;1000;6;;;
240216;1100;5;;;
240216;1200;11;;;
240216;1300;6;;;
240216;1400;4;;;
240216;1500;8;;;
240216;1600;8;;;
240216;1700;7;;;
240216;1800;9;;;
240216;1900;7;;;
240216;2000;7;;;
240216;2100;11;;;
240216;2200;7;;;
240216;2300;4;;;
240217;0000;3;;;
240217;0100;4;;;
240217;0200;3;;;
240217;0300;5;;;
240217;0400;3;;;
240217;0500;3;;;
240217;0600;4;;;
240217;0700;4;;;
240217;0800;8;;;
240217;0900;8;;;
240217;1000;10;;;
240217;1100;7;;;
240217;1200;5;;;
240217;1300;5;;;
240217;1400;4;;;
240217;1500;2;;;
240217;1600;2;;;
240217;1700;3;;;
240217;1800;1;;;
240217;1900;8;;;
240217;2000;23;;;
240217;2100;13;;;
240217;2200;8;;;
240217;2300;4;;;
240218;0000;2;;;
240218;0100;3;;;
240218;0200;2;;;
240218;0300;3;;;
240218;0400;6;;;
240218;0500;6;;;
240218;0600;10;;;
240218;0700;7;;;
240218;0800;6;;;
240218;0900;4;;;
240218;1000;3;;;
240218;1100;3;;;
240218;1200;4;;;
240218;1300;2;;;
240218;1400;3;;;
240218;1500;2;;;
240218;1600;5;;;
240218;1700;6;;;
240218;1800;6;;;
240218;1900;8;;;
240218;2000;9;;;
240218;2100;9;;;
240218;2200;6;;;
240218;2300;9;;;
240219;0000;7;;;
240219;0100;5;;;
240219;0200;3;;;
240219;0300;2;;;
240219;0400;4;;;
240219;0500;5;;;
240219;0600;7;;;
240219;0700;6;;;
240219;0800;8;;;
240219;0900;9;;;
240219;1000;9;;;
240219;1100;6;;;
240219;1200;5;;;
240219;1300;;;;
240219;1400;15;;;
240219;1500;7;;;
240219;1600;4;;;
240219;1700;5;;;
240219;1800;5;;;
240219;1900;6;;;
240219;2000;8;;;
240219;2100;5;;;
240219;2200;15;;;
240219;2300;19;;;
240220;0000;14;;;
240220;0100;9;;;
240220;0200;6;;;
240220;0300;7;;;
240220;0400;6;;;
240220;0500;4;;;
240220;0600;10;;;
240220;0700;7;;;
240220;0800;8;;;
240220;0900;13;;;
240220;1000;7;;;
240220;1100;5;;;
240220;1200;5;;;
240220;1300;2;;;
240220;1400;1;;;
240220;1500;1;;;
240220;1600;6;;;
240220;1700;5;;;
240220;1800;2;;;
240220;1900;4;;;
240220;2000;5;;;
240220;2100;9;;;
240220;2200;5;;;
240220;2300;3;;;
240221;0000;1;;;
240221;0100;5;;;
240221;0200;4;;;
240221;0300;2;;;
240221;0400;2;;;
240221;0500;1;;;
240221;0600;9;;;
240221;0700;10;;;
240221;0800;7;;;
240221;0900;4;;;
240221;1000;6;;;
240221;1100;8;;;
240221;1200;9;;;
240221;1300;6;;;
240221;1400;4;;;
240221;1500;7;;;
240221;1600;12;;;
240221;1700;10;;;
240221;1800;8;;;
240221;1900;6;;;
240221;2000;15;;;
240221;2100;3;;;
240221;2200;9;;;
240221;2300;6;;;
240222;0000;5;;;
240222;0100;3;;;
240222;0200;3;;;
240222;0300;3;;;
240222;0400;4;;;
240222;0500;3;;;
240222;0600;5;;;
240222;0700;10;;;
240222;0800;10;;;
240222;0900;8;;;
240222;1000;14;;;
240222;1100;10;;;
240222;1200;8;;;
240222;1300;7;;;
240222;1400;6;;;
240222;1500;11;;;
240222;1600;15;;;
240222;1700;11;;;
240222;1800;16;;;
240222;1900;15;;;
240222;2000;18;;;
240222;2100;22;;;
240222;2200;23;;;
240222;2300;9;;;
240223;0000;8;;;
240223;0100;5;;;
240223;0200;2;;;
240223;0300;1;;;
240223;0400;3;;;
240223;0500;6;;;
240223;0600;12;;;
240223;0700;18;;;
240223;0800;8;;;
240223;0900;12;;;
240223;1000;8;;;
240223;1100;12;;;
240223;1200;10;;;
240223;1300;5;;;
240223;1400;5;;;
240223;1500;9;;;
240223;1600;9;;;
240223;1700;10;;;
240223;1800;13;;;
240223;1900;21;;;
240223;2000;27;;;
240223;2100;108;;;
240223;2200;46;;;
240223;2300;19;;;
240224;0000;8;;;
240224;0100;16;;;
240224;0200;11;;;
240224;0300;11;;;
240224;0400;13;;;
240224;0500;26;;;
240224;0600;37;;;
240224;0700;31;;;
240224;0800;19;;;
240224;0900;12;;;
240224;1000;12;;;
240224;1100;12;;;
240224;1200;9;;;
240224;1300;7;;;
240224;1400;4;;;
240224;1500;3;;;
240224;1600;7;;;
240224;1700;5;;;
240224;1800;12;;;
240224;1900;16;;;
240224;2000;28;;;
240224;2100;34;;;
240224;2200;18;;;
240224;2300;6;;;
240225;0000;6;;;
240225;0100;14;;;
240225;0200;8;;;
240225;0300;11;;;
240225;0400;8;;;
240225;0500;5;;;
240225;0600;12;;;
240225;0700;15;;;
240225;0800;23;;;
240225;0900;14;;;
240225;1000;7;;;
240225;1100;1;;;
240225;1200;4;;;
240225;1300;3;;;
240225;1400;2;;;
240225;1500;3;;;
240225;1600;4;;;
240225;1700;4;;;
240225;1800;2;;;
240225;1900;1;;;
240225;2000;6;;;
240225;2100;4;;;
240225;2200;1;;;
240225;2300;2;;;
240226;0000;3;;;
240226;0100;3;;;
240226;0200;4;;;
240226;0300;3;;;
240226;0400;1;;;
240226;0500;2;;;
240226;0600;7;;;
240226;0700;14;;;
240226;0800;12;;;
240226;0900;6;;;
240226;1000;3;;;
240226;1100;4;;;
240226;1200;2;;;
240226;1300;2;;;
240226;1400;8;;;
240226;1500;5;;;
240226;1600;4;;;
240226;1700;4;;;
240226;1800;6;;;
240226;1900;4;;;
240226;2000;5;;;
240226;2100;5;;;
240226;2200;4;;;
240226;2300;2;;;
240227;0000;1;;;
240227;0100;2;;;
240227;0200;4;;;
240227;0300;3;;;
240227;0400;10;;;
240227;0500;6;;;
240227;0600;27;;;
240227;0700;6;;;
240227;0800;6;;;
240227;0900;3;;;
240227;1000;4;;;
240227;1100;7;;;
240227;1200;6;;;
240227;1300;3;;;
240227;1400;6;;;
240227;1500;4;;;
240227;1600;5;;;
240227;1700;15;;;
240227;1800;13;;;
240227;1900;11;;;
240227;2000;16;;;
240227;2100;23;;;
240227;2200;6;;;
240227;2300;7;;;
240228;0000;5;;;
240228;0100;8;;;
240228;0200;6;;;
240228;0300;7;;;
240228;0400;4;;;
240228;0500;4;;;
240228;0600;10;;;
240228;0700;10;;;
240228;0800;26;;;
240228;0900;7;;;
240228;1000;7;;;
240228;1100;5;;;
240228;1200;7;;;
240228;1300;5;;;
240228;1400;4;;;
240228;1500;5;;;
240228;1600;6;;;
240228;1700;11;;;
240228;1800;10;;;
240228;1900;10;;;
240228;2000;21;;;
240228;2100;11;;;
240228;2200;7;;;
240228;2300;5;;;
240229;0000;4;;;
240229;0100;10;;;
240229;0200;13;;;
240229;0300;9;;;
240229;0400;8;;;
240229;0500;5;;;
240229;0600;63;;;
240229;0700;13;;;
240229;0800;10;;;
240229;0900;6;;;
240229;1000;6;;;
240229;1100;4;;;
240229;1200;;;;
240229;1300;;;;
240229;1400;;;;
240229;1500;5;;;
240229;1600;7;;;
240229;1700;9;;;
240229;1800;11;;;
240229;1900;11;;;
240229;2000;14;;;
240229;2100;13;;;
240229;2200;9;;;
240229;2300;6;;;
240301;0000;7;;;
240301;0100;9;;;
240301;0200;5;;;
240301;0300;1;;;
240301;0400;1;;;
240301;0500;3;;;
240301;0600;8;;;
240301;0700;7;;;
240301;0800;7;;;
240301;0900;5;;;
240301;1000;2;;;
240301;1100;5;;;
240301;1200;9;;;
240301;1300;8;;;
240301;1400;10;;;
240301;1500;13;;;
240301;1600;9;;;
240301;1700;7;;;
240301;1800;10;;;
240301;1900;16;;;
240301;2000;15;;;
240301;2100;16;;;
240301;2200;8;;;
240301;2300;7;;;
240302;0000;11;;;
240302;0100;7;;;
240302;0200;7;;;
240302;0300;6;;;
240302;0400;5;;;
240302;0500;7;;;
240302;0600;6;;;
240302;0700;14;;;
240302;0800;25;;;
240302;0900;5;;;
240302;1000;11;;;
240302;1100;8;;;
240302;1200;10;;;
240302;1300;7;;;
240302;1400;12;;;
240302;1500;9;;;
240302;1600;6;;;
240302;1700;10;;;
240302;1800;16;;;
240302;1900;21;;;
240302;2000;33;;;
240302;2100;42;;;
240302;2200;10;;;
240302;2300;29;;;
240303;0000;14;;;
240303;0100;7;;;
240303;0200;6;;;
240303;0300;6;;;
240303;0400;4;;;
240303;0500;10;;;
240303;0600;6;;;
240303;0700;13;;;
240303;0800;12;;;
240303;0900;9;;;
240303;1000;8;;;
240303;1100;6;;;
240303;1200;4;;;
240303;1300;3;;;
240303;1400;2;;;
240303;1500;2;;;
240303;1600;4;;;
240303;1700;5;;;
240303;1800;8;;;
240303;1900;20;;;
240303;2000;27;;;
240303;2100;36;;;
240303;2200;52;;;
240303;2300;21;;;
240304;0000;12;;;
240304;0100;9;;;
240304;0200;14;;;
240304;0300;11;;;
240304;0400;8;;;
240304;0500;13;;;
240304;0600;93;;;
240304;0700;44;;;
240304;0800;19;;;
240304;0900;9;;;
240304;1000;10;;;
240304;1100;10;;;
240304;1200;7;;;
240304;1300;4;;;
240304;1400;6;;;
240304;1500;4;;;
240304;1600;3;;;
240304;1700;8;;;
240304;1800;15;;;
240304;1900;45;;;
240304;2000;78;;;
240304;2100;124;;;
240304;2200;124;;;
240304;2300;78;;;
240305;0000;45;;;
240305;0100;39;;;
240305;0200;34;;;
240305;0300;21;;;
240305;0400;7;;;
240305;0500;32;;;
240305;0600;53;;;
240305;0700;63;;;
240305;0800;50;;;
240305;0900;66;;;
240305;1000;36;;;
240305;1100;16;;;
240305;1200;2;;;
240305;1300;5;;;
240305;1400;11;;;
240305;1500;6;;;
240305;1600;5;;;
240305;1700;3;;;
240305;1800;7;;;
240305;1900;12;;;
240305;2000;16;;;
240305;2100;32;;;
240305;2200;14;;;
240305;2300;8;;;
240306;0000;5;;;
240306;0100;7;;;
240306;0200;5;;;
240306;0300;4;;;
240306;0400;3;;;
240306;0500;3;;;
240306;0600;33;;;
240306;0700;11;;;
240306;0800;19;;;
240306;0900;10;;;
240306;1000;10;;;
240306;1100;6;;;
240306;1200;4;;;
240306;1300;5;;;
240306;1400;4;;;
240306;1500;7;;;
240306;1600;5;;;
240306;1700;16;;;
240306;1800;19;;;
240306;1900;22;;;
240306;2000;24;;;
240306;2100;19;;;
240306;2200;14;;;
240306;2300;9;;;
240307;0000;5;;;
240307;0100;4;;;
240307;0200;6;;;
240307;0300;3;;;
240307;0400;20;;;
240307;0500;17;;;
240307;0600;30;;;
240307;0700;29;;;
240307;0800;13;;;
240307;0900;12;;;
240307;1000;11;;;
240307;1100;8;;;
240307;1200;6;;;
240307;1300;8;;;
240307;1400;6;;;
240307;1500;3;;;
240307;1600;9;;;
240307;1700;17;;;
240307;1800;27;;;
240307;1900;56;;;
240307;2000;28;;;
240307;2100;69;;;
240307;2200;38;;;
240307;2300;57;;;
240308;0000;15;;;
240308;0100;6;;;
240308;0200;7;;;
240308;0300;4;;;
240308;0400;6;;;
240308;0500;6;;;
240308;0600;14;;;
240308;0700;21;;;
240308;0800;20;;;
240308;0900;9;;;
240308;1000;24;;;
240308;1100;12;;;
240308;1200;23;;;
240308;1300;14;;;
240308;1400;19;;;
240308;1500;23;;;
240308;1600;43;;;
240308;1700;23;;;
240308;1800;23;;;
240308;1900;36;;;
240308;2000;35;;;
240308;2100;40;;;
240308;2200;35;;;
240308;2300;24;;;
240309;0000;8;;;
240309;0100;14;;;
240309;0200;19;;;
240309;0300;6;;;
240309;0400;8;;;
240309;0500;7;;;
240309;0600;7;;;
240309;0700;9;;;
240309;0800;10;;;
240309;0900;17;;;
240309;1000;12;;;
240309;1100;10;;;
240309;1200;11;;;
240309;1300;8;;;
240309;1400;12;;;
240309;1500;9;;;
240309;1600;9;;;
240309;1700;10;;;
240309;1800;20;;;
240309;1900;24;;;
240309;2000;45;;;
240309;2100;19;;;
240309;2200;20;;;
240309;2300;13;;;
240310;0000;8;;;
240310;0100;6;;;
240310;0200;7;;;
240310;0300;4;;;
240310;0400;2;;;
240310;0500;3;;;
240310;0600;16;;;
240310;0700;15;;;
240310;0800;17;;;
240310;0900;15;;;
240310;1000;1;;;
240310;1100;9;;;
240310;1200;8;;;
240310;1300;5;;;
240310;1400;6;;;
240310;1500;10;;;
240310;1600;8;;;
240310;1700;9;;;
240310;1800;9;;;
240310;1900;12;;;
240310;2000;21;;;
240310;2100;19;;;
240310;2200;10;;;
240310;2300;10;;;
240311;0000;8;;;
240311;0100;4;;;
240311;0200;1;;;
240311;0300;2;;;
240311;0400;1;;;
240311;0500;2;;;
240311;0600;18;;;
240311;0700;35;;;
240311;0800;18;;;
240311;0900;18;;;
240311;1000;12;;;
240311;1100;6;;;
240311;1200;8;;;
240311;1300;9;;;
240311;1400;21;;;
240311;1500;24;;;
240311;1600;27;;;
240311;1700;43;;;
240311;1800;57;;;
240311;1900;60;;;
240311;2000;51;;;
240311;2100;63;;;
240311;2200;46;;;
240311;2300;82;;;
240312;0000;15;;;
240312;0100;9;;;
240312;0200;5;;;
240312;0300;3;;;
240312;0400;5;;;
240312;0500;7;;;
240312;0600;10;;;
240312;0700;16;;;
240312;0800;6;;;
240312;0900;13;;;
240312;1000;12;;;
240312;1100;10;;;
240312;1200;6;;;
240312;1300;9;;;
240312;1400;9;;;
240312;1500;14;;;
240312;1600;12;;;
240312;1700;13;;;
240312;1800;17;;;
240312;1900;18;;;
240312;2000;31;;;
240312;2100;12;;;
240312;2200;10;;;
240312;2300;9;;;
240313;0000;22;;;
240313;0100;16;;;
240313;0200;7;;;
240313;0300;6;;;
240313;0400;7;;;
240313;0500;17;;;
240313;0600;34;;;
240313;0700;73;;;
240313;0800;51;;;
240313;0900;36;;;
240313;1000;13;;;
240313;1100;21;;;
240313;1200;15;;;
240313;1300;21;;;
240313;1400;16;;;
240313;1500;11;;;
240313;1600;12;;;
240313;1700;16;;;
240313;1800;19;;;
240313;1900;18;;;
240313;2000;34;;;
240313;2100;16;;;
240313;2200;16;;;
240313;2300;9;;;
240314;0000;6;;;
240314;0100;11;;;
240314;0200;6;;;
240314;0300;4;;;
240314;0400;4;;;
240314;0500;7;;;
240314;0600;6;;;
240314;0700;15;;;
240314;0800;10;;;
240314;0900;10;;;
240314;1000;7;;;
240314;1100;10;;;
240314;1200;10;;;
240314;1300;9;;;
240314;1400;14;;;
240314;1500;18;;;
240314;1600;18;;;
240314;1700;21;;;
240314;1800;15;;;
240314;1900;25;;;
240314;2000;15;;;
240314;2100;25;;;
240314;2200;9;;;
240314;2300;7;;;
240315;0000;7;;;
240315;0100;5;;;
240315;0200;2;;;
240315;0300;2;;;
240315;0400;3;;;
240315;0500;4;;;
240315;0600;7;;;
240315;0700;24;;;
240315;0800;10;;;
240315;0900;9;;;
240315;1000;18;;;
240315;1100;24;;;
240315;1200;16;;;
240315;1300;33;;;
240315;1400;28;;;
240315;1500;26;;;
240315;1600;23;;;
240315;1700;29;;;
240315;1800;21;;;
240315;1900;30;;;
240315;2000;19;;;
240315;2100;13;;;
240315;2200;16;;;
240315;2300;16;;;
240316;0000;14;;;
240316;0100;12;;;
240316;0200;7;;;
240316;0300;9;;;
240316;0400;12;;;
240316;0500;6;;;
240316;0600;7;;;
240316;0700;11;;;
240316;0800;13;;;
240316;0900;13;;;
240316;1000;10;;;
240316;1100;10;;;
240316;1200;18;;;
240316;1300;9;;;
240316;1400;9;;;
240316;1500;8;;;
240316;1600;12;;;
240316;1700;12;;;
240316;1800;20;;;
240316;1900;20;;;
240316;2000;10;;;
240316;2100;8;;;
240316;2200;11;;;
240316;2300;7;;;
240317;0000;7;;;
240317;0100;6;;;
240317;0200;4;;;
240317;0300;2;;;
240317;0400;1;;;
240317;0500;2;;;
240317;0600;2;;;
240317;0700;8;;;
240317;0800;8;;;
240317;0900;9;;;
240317;1000;8;;;
240317;1100;12;;;
240317;1200;;;;
240317;1300;;;;
240317;1400;;;;
240317;1500;;;6;
240317;1600;;;3;
240317;1700;;;1;
240317;1800;;;1;
240317;1900;;;3;
240317;2000;;;4;
240317;2100;;;3;
240317;2200;;;2;
240317;2300;;;1;
240318;0000;;;6;
240318;0100;;;4;
240318;0200;;;3;
240318;0300;;;5;
240318;0400;;;4;
240318;0500;;;2;
240318;0600;;;1;
240318;0700;;;1;
240318;0800;;;2;
240318;0900;;;1;
240318;1000;;;3;
240318;1100;;;2;
240318;1200;;;1;
240318;1300;;;1;
240318;1400;;;1;
240318;1500;;;1;
240318;1600;;;1;
240318;1700;;;1;
240318;1800;;;1;
240318;1900;;;1;
240318;2000;;;2;
240318;2100;;;1;
240318;2200;;;4;
240318;2300;;;3;
240319;0000;;;3;
240319;0100;;;3;
240319;0200;;;1;
240319;0300;;;3;
240319;0400;;;2;
240319;0500;;;1;
240319;0600;;;1;
240319;0700;;;2;
240319;0800;;;1;
240319;0900;;;2;
240319;1000;;;1;
240319;1100;;;;
240319;1200;;;1;
240319;1300;;;1;
240319;1400;;;1;
240319;1500;;;1;
240319;1600;;;1;
240319;1700;;;3;
240319;1800;;;1;
240319;1900;;;1;
240319;2000;;;3;
240319;2100;;;2;
240319;2200;;;4;
240319;2300;;;2;
240320;0000;;;3;
240320;0100;;;7;
240320;0200;;;6;
240320;0300;;;5;
240320;0400;;;3;
240320;0500;;;1;
240320;0600;;;4;
240320;0700;;;4;
240320;0800;;;5;
240320;0900;;;6;
240320;1000;;;3;
240320;1100;;;1;
240320;1200;;;3;
240320;1300;;;5;
240320;1400;;;1;
240320;1500;;;1;
240320;1600;;;2;
240320;1700;;;2;
240320;1800;19;;;
240320;1900;24;;;
240320;2000;23;;;
240320;2100;19;;;
240320;2200;34;;;
240320;2300;14;;;
240321;0000;9;;;
240321;0100;8;;;
240321;0200;4;;;
240321;0300;3;;;
240321;0400;5;;;
240321;0500;5;;;
240321;0600;19;;;
240321;0700;23;;;
240321;0800;9;;;
240321;0900;9;;;
240321;1000;10;;;
240321;1100;7;;;
240321;1200;4;;;
240321;1300;5;;;
240321;1400;6;;;
240321;1500;6;;;
240321;1600;6;;;
240321;1700;7;;;
240321;1800;30;;;
240321;1900;34;;;
240321;2000;148;;;
240321;2100;94;;;
240321;2200;82;;;
240321;2300;59;;;
240322;0000;38;;;
240322;0100;25;;;
240322;0200;25;;;
240322;0300;18;;;
240322;0400;25;;;
240322;0500;32;;;
240322;0600;70;;;
240322;0700;56;;;
240322;0800;51;;;
240322;0900;104;;;
240322;1000;108;;;
240322;1100;54;;;
240322;1200;48;;;
240322;1300;41;;;
240322;1400;68;;;
240322;1500;73;;;
240322;1600;59;;;
240322;1700;58;;;
240322;1800;84;;;
240322;1900;90;;;
240322;2000;55;;;
